Flight_ID,Airline,Distance_km,Departure_Delay_min,Arrival_Delay_min,Delay_Status
72,Delta,439,125,122,OnTime
73,Lufthansa,1065,149,117,Delayed
74,Delta,11052,36,121,Delayed
75,Lufthansa,4038,88,92,OnTime
76,Delta,6532,148,78,OnTime
77,Delta,3024,175,191,Delayed
78,Delta,7908,109,23,OnTime
79,Emirates,1506,60,194,Delayed
80,Indigo,4770,91,179,Delayed
81,Indigo,5038,88,160,OnTime
82,Emirates,1693,36,125,OnTime
83,Emirates,4531,49,71,OnTime
84,Indigo,8919,100,27,Delayed
85,Delta,3922,177,92,Delayed
86,Indigo,1294,54,6,OnTime
87,Emirates,4683,46,74,OnTime
88,Emirates,7871,7,106,OnTime
89,Delta,7084,27,97,Delayed
90,Emirates,951,161,128,Delayed
91,Emirates,10471,50,128,OnTime
92,Delta,10058,140,198,Delayed
93,Lufthansa,389,61,158,Delayed
94,Emirates,296,20,150,Delayed
95,Indigo,6427,61,127,OnTime
96,Delta,2291,99,151,Delayed
97,Indigo,1376,98,141,OnTime
98,Delta,10473,90,103,OnTime
99,Lufthansa,10178,143,169,OnTime
100,Emirates,6893,39,193,OnTime
101,Emirates,3448,14,98,OnTime
102,Lufthansa,6444,168,111,Delayed
103,Indigo,3582,68,102,OnTime
104,Lufthansa,4958,167,9,Delayed
105,Lufthansa,9195,142,169,OnTime
106,Lufthansa,1579,24,151,Delayed
107,Lufthansa,11518,51,94,Delayed
108,Emirates,7946,111,84,OnTime
109,Delta,4816,55,67,OnTime
110,Delta,7544,67,170,OnTime
111,Delta,8838,97,159,Delayed
112,Lufthansa,1698,69,96,Delayed
113,Delta,10052,81,155,Delayed
114,Delta,3411,129,141,Delayed
115,Lufthansa,8637,24,164,OnTime
116,Indigo,931,62,39,OnTime
117,Indigo,2349,49,183,OnTime
118,Lufthansa,11009,120,47,Delayed
119,Indigo,7184,108,65,Delayed
120,Lufthansa,8547,112,99,OnTime
121,Lufthansa,806,178,115,Delayed
122,Indigo,5105,65,28,Delayed
123,Emirates,8793,129,169,OnTime
124,Indigo,610,144,138,Delayed
125,Indigo,2132,159,154,Delayed
126,Indigo,9545,87,135,OnTime
127,Emirates,6497,103,182,OnTime
128,Indigo,5950,83,174,Delayed
129,Indigo,5857,154,136,OnTime
130,Indigo,9789,149,32,OnTime
131,Lufthansa,11345,103,8,OnTime
132,Emirates,5941,44,20,Delayed
133,Lufthansa,426,155,24,Delayed
134,Emirates,9276,133,132,OnTime
135,Delta,1750,83,32,Delayed
136,Indigo,11661,175,113,Delayed
137,Emirates,1147,116,13,Delayed
138,Lufthansa,9787,149,103,OnTime
139,Delta,10154,171,7,Delayed
140,Indigo,9672,146,166,Delayed
141,Emirates,8696,62,129,OnTime
142,Emirates,7281,146,121,OnTime
143,Indigo,5448,51,20,Delayed
144,Indigo,6835,13,71,Delayed
145,Indigo,4600,66,157,OnTime
146,Indigo,3392,159,84,Delayed
147,Lufthansa,3786,104,8,OnTime
148,Emirates,10175,90,10,Delayed
149,Indigo,1940,35,159,Delayed
150,Emirates,2832,64,86,Delayed
151,Lufthansa,7263,39,53,Delayed
152,Delta,2687,4,179,OnTime
153,Lufthansa,10177,135,142,Delayed
154,Emirates,9719,111,20,Delayed
155,Lufthansa,8198,165,33,Delayed
156,Lufthansa,830,83,127,Delayed
157,Emirates,11443,102,136,OnTime
158,Lufthansa,2299,26,139,Delayed
159,Indigo,4545,26,175,Delayed
160,Emirates,7797,42,118,Delayed
161,Lufthansa,7739,67,26,Delayed
162,Lufthansa,1915,169,55,OnTime
163,Delta,342,39,141,OnTime
164,Delta,1803,77,190,Delayed
165,Emirates,10482,135,132,Delayed
166,Indigo,10524,145,146,Delayed
167,Indigo,1567,6,88,Delayed
168,Lufthansa,8917,57,138,Delayed
169,Emirates,2882,81,141,Delayed
170,Lufthansa,1628,71,124,Delayed
171,Delta,9227,25,190,OnTime
172,Delta,3887,121,38,OnTime
173,Lufthansa,10700,118,168,Delayed
174,Delta,3123,129,107,Delayed
175,Lufthansa,6192,112,155,Delayed
176,Delta,8177,46,119,Delayed
177,Delta,9166,10,44,Delayed
178,Indigo,3255,7,168,OnTime
179,Emirates,3174,106,131,Delayed
180,Lufthansa,5865,150,79,OnTime
181,Delta,3852,112,161,OnTime
182,Delta,11302,145,73,OnTime
183,Indigo,6860,86,49,Delayed
184,Emirates,3316,114,197,Delayed
185,Delta,3131,71,23,Delayed
186,Delta,6636,176,25,OnTime
187,Lufthansa,8281,124,105,Delayed
188,Delta,11710,53,160,OnTime
189,Delta,10408,131,17,Delayed
190,Delta,6130,104,123,Delayed
191,Lufthansa,1408,69,65,OnTime
192,Delta,7999,45,21,OnTime
193,Indigo,9041,85,30,OnTime
194,Delta,4074,58,95,Delayed
195,Delta,9900,75,146,OnTime
196,Delta,10684,13,196,OnTime
197,Indigo,2892,76,26,Delayed
198,Delta,9424,48,134,Delayed
199,Delta,2341,172,8,OnTime
200,Delta,11581,18,108,Delayed
201,Delta,6117,45,86,Delayed
202,Indigo,10146,11,146,Delayed
203,Delta,7863,62,96,Delayed
204,Lufthansa,690,158,57,OnTime
205,Emirates,7968,154,74,OnTime
206,Emirates,8129,63,160,OnTime
207,Indigo,358,92,145,OnTime
208,Lufthansa,4668,179,10,Delayed
209,Delta,9181,48,18,Delayed
210,Emirates,4958,48,57,Delayed
211,Lufthansa,11105,104,84,Delayed
212,Delta,1454,117,12,Delayed
213,Lufthansa,11653,141,99,OnTime
214,Lufthansa,4391,6,153,Delayed
215,Delta,4024,19,138,OnTime
216,Emirates,6522,131,8,OnTime
217,Lufthansa,8465,145,34,Delayed
218,Delta,6536,143,48,OnTime
219,Delta,8084,87,110,Delayed
220,Lufthansa,10073,82,175,Delayed
221,Indigo,8763,5,162,OnTime
222,Lufthansa,4083,175,42,Delayed
223,Emirates,5716,161,62,OnTime
224,Indigo,10722,73,106,Delayed
225,Emirates,11072,45,183,OnTime
226,Lufthansa,882,133,165,Delayed
227,Delta,5967,124,169,Delayed
228,Delta,5757,168,28,OnTime
229,Emirates,8437,130,91,OnTime
230,Lufthansa,9982,96,164,OnTime
231,Indigo,4479,25,32,OnTime
232,Delta,10055,6,130,OnTime
233,Delta,5233,18,180,Delayed
234,Emirates,3479,166,14,OnTime
235,Delta,7994,168,137,OnTime
236,Indigo,5911,19,191,OnTime
237,Lufthansa,9475,61,31,OnTime
238,Emirates,9824,119,37,Delayed
239,Delta,9955,136,115,Delayed
240,Emirates,10325,99,198,OnTime
241,Delta,9519,84,12,OnTime
242,Lufthansa,1153,25,15,Delayed
243,Emirates,533,91,44,OnTime
244,Lufthansa,5512,105,7,Delayed
245,Indigo,6608,177,87,OnTime
246,Emirates,6922,2,129,Delayed
247,Emirates,1493,97,106,OnTime
248,Indigo,9372,121,90,OnTime
249,Lufthansa,8186,136,26,Delayed
250,Lufthansa,4848,55,55,Delayed
251,Lufthansa,8231,50,55,OnTime
252,Delta,3393,165,87,OnTime
253,Delta,5639,43,103,Delayed
254,Lufthansa,7450,106,4,Delayed
255,Lufthansa,6804,83,96,Delayed
256,Delta,7551,35,65,Delayed
257,Lufthansa,4517,26,133,OnTime
258,Delta,2062,91,65,OnTime
259,Delta,8009,168,142,OnTime
260,Delta,5082,124,39,OnTime
261,Indigo,9536,68,102,Delayed
262,Emirates,3332,1,37,Delayed
263,Emirates,992,132,36,OnTime
264,Indigo,4875,99,186,OnTime
265,Indigo,7103,150,184,Delayed
266,Delta,221,60,50,OnTime
267,Lufthansa,7472,6,1,Delayed
268,Indigo,10837,154,149,OnTime
269,Lufthansa,3095,46,43,OnTime
270,Indigo,4907,31,75,Delayed
271,Lufthansa,1227,149,43,Delayed
272,Indigo,2833,110,100,Delayed
273,Delta,7331,144,38,OnTime
274,Indigo,4678,36,25,OnTime
275,Delta,10969,108,150,Delayed
276,Emirates,5883,36,112,OnTime
277,Indigo,7486,164,170,OnTime
278,Delta,4900,53,84,Delayed
279,Delta,8984,152,190,Delayed
280,Emirates,5738,161,196,Delayed
281,Delta,5034,166,123,OnTime
282,Delta,2944,83,94,Delayed
283,Emirates,8905,58,23,OnTime
284,Lufthansa,3401,72,133,OnTime
285,Emirates,8368,1,158,Delayed
286,Emirates,7243,137,103,OnTime
287,Indigo,9166,81,1,Delayed
288,Lufthansa,452,118,66,Delayed
289,Indigo,2944,80,85,OnTime
290,Indigo,6317,72,61,OnTime
291,Lufthansa,9617,155,196,Delayed
292,Emirates,7678,79,170,OnTime
293,Emirates,6810,80,186,OnTime
294,Lufthansa,5088,167,145,OnTime
295,Delta,11015,21,123,Delayed
296,Delta,9123,8,120,Delayed
297,Indigo,3059,97,109,Delayed
298,Delta,9122,134,70,OnTime
299,Delta,1255,61,158,Delayed
300,Emirates,11410,108,130,Delayed
301,Delta,379,150,8,Delayed
302,Emirates,7112,118,189,OnTime
303,Emirates,3632,172,153,Delayed
304,Emirates,4588,170,82,Delayed
305,Lufthansa,2536,59,99,OnTime
306,Indigo,1705,135,72,Delayed
307,Delta,4772,142,187,OnTime
308,Lufthansa,6400,27,33,OnTime
309,Delta,8370,167,8,OnTime
310,Lufthansa,4537,108,4,Delayed
311,Indigo,6275,165,8,Delayed
312,Indigo,8649,48,79,OnTime
313,Emirates,11006,65,165,Delayed
314,Emirates,10319,175,61,OnTime
315,Emirates,1591,57,93,OnTime
316,Emirates,3033,163,197,Delayed
317,Lufthansa,7142,62,72,OnTime
318,Indigo,6700,38,38,OnTime
319,Lufthansa,5677,157,35,OnTime
320,Emirates,10264,8,26,OnTime
321,Indigo,8595,98,82,OnTime
322,Lufthansa,984,22,199,OnTime
323,Lufthansa,9859,123,65,Delayed
324,Lufthansa,6912,173,18,Delayed
325,Indigo,5339,127,189,OnTime
326,Delta,10851,141,174,Delayed
327,Emirates,11082,60,44,Delayed
328,Emirates,10308,166,153,Delayed
329,Emirates,4552,155,43,OnTime
330,Delta,9313,88,106,OnTime
331,Indigo,8971,142,130,OnTime
332,Lufthansa,1550,130,17,OnTime
333,Emirates,6630,161,21,OnTime
334,Indigo,511,4,26,OnTime
335,Lufthansa,7686,131,192,Delayed
336,Indigo,3210,53,19,OnTime
337,Indigo,11849,46,73,Delayed
338,Emirates,3648,166,1,OnTime
339,Delta,8405,28,87,OnTime
340,Emirates,2444,10,86,OnTime
341,Delta,10924,8,184,Delayed
342,Emirates,9931,109,133,Delayed
343,Emirates,8195,47,122,Delayed
344,Lufthansa,8010,150,29,OnTime
345,Indigo,6666,31,132,Delayed
346,Delta,11387,98,65,Delayed
347,Indigo,2531,3,134,OnTime
348,Delta,4092,15,40,OnTime
349,Emirates,3992,146,105,OnTime
350,Emirates,7472,85,10,OnTime
351,Indigo,11873,121,12,Delayed
352,Lufthansa,1790,156,99,Delayed
353,Lufthansa,10037,40,65,OnTime
354,Lufthansa,2049,8,191,Delayed
355,Lufthansa,1135,111,153,Delayed
356,Indigo,4591,151,170,Delayed
357,Indigo,7695,51,180,OnTime
358,Indigo,2043,48,124,Delayed
359,Delta,4037,162,48,Delayed
360,Emirates,5295,151,42,OnTime
361,Lufthansa,11044,16,56,Delayed
362,Lufthansa,8790,115,41,OnTime
363,Indigo,10158,122,56,OnTime
364,Delta,1929,50,17,OnTime
365,Indigo,4705,92,19,OnTime
366,Lufthansa,11565,150,69,OnTime
367,Lufthansa,4921,166,53,OnTime
368,Indigo,3670,142,172,OnTime
369,Emirates,2486,29,115,Delayed
370,Lufthansa,7271,26,140,Delayed
371,Lufthansa,9280,40,27,OnTime
372,Lufthansa,9484,60,181,Delayed
373,Lufthansa,9041,51,11,OnTime
374,Delta,6472,169,106,Delayed
375,Delta,4947,122,126,Delayed
376,Emirates,6898,50,20,Delayed
377,Emirates,5499,148,52,Delayed
378,Indigo,1726,82,15,Delayed
379,Lufthansa,10087,154,11,Delayed
380,Indigo,748,154,178,OnTime
381,Indigo,9715,157,113,Delayed
382,Indigo,2406,116,184,OnTime
383,Lufthansa,6580,119,197,OnTime
384,Lufthansa,2456,82,189,OnTime
385,Indigo,4070,105,73,Delayed
386,Lufthansa,9109,179,94,Delayed
387,Indigo,7117,122,79,OnTime
388,Delta,2067,29,110,OnTime
389,Indigo,10256,101,179,OnTime
390,Emirates,684,137,186,Delayed
391,Indigo,8787,83,17,OnTime
392,Indigo,4027,132,33,Delayed
393,Indigo,3362,63,113,OnTime
394,Indigo,7049,71,142,OnTime
395,Delta,8010,78,172,OnTime
396,Delta,4401,5,144,OnTime
397,Lufthansa,1599,72,178,Delayed
398,Delta,4421,170,69,OnTime
399,Lufthansa,10416,26,39,Delayed
400,Delta,2059,20,105,Delayed
401,Indigo,11851,50,196,Delayed
402,Emirates,10777,38,154,Delayed
403,Indigo,5950,27,7,Delayed
404,Lufthansa,8204,75,130,OnTime
405,Indigo,6883,116,93,Delayed
406,Emirates,9969,15,2,Delayed
407,Delta,10178,59,168,Delayed
408,Emirates,11546,44,193,Delayed
409,Delta,11969,34,37,Delayed
410,Lufthansa,1087,4,43,OnTime
411,Lufthansa,7196,156,34,OnTime
412,Lufthansa,4258,25,49,Delayed
413,Emirates,5976,121,122,Delayed
414,Lufthansa,6343,99,13,Delayed
415,Lufthansa,6478,132,188,Delayed
416,Delta,6865,96,174,Delayed
417,Indigo,8644,76,199,Delayed
418,Indigo,11080,133,92,OnTime
419,Indigo,5648,124,154,OnTime
420,Indigo,10867,105,2,Delayed
421,Lufthansa,6747,3,85,Delayed
422,Indigo,10152,94,130,OnTime
423,Emirates,269,91,120,Delayed
424,Lufthansa,2904,9,111,OnTime
425,Lufthansa,8340,87,8,OnTime
426,Delta,4114,52,192,OnTime
427,Indigo,9636,141,62,Delayed
428,Indigo,799,164,157,OnTime
429,Indigo,8679,158,127,Delayed
430,Emirates,9291,156,70,Delayed
431,Delta,715,82,48,Delayed
432,Emirates,1200,0,10,OnTime
433,Lufthansa,4230,97,161,Delayed
434,Delta,588,158,126,OnTime
435,Indigo,10819,45,134,Delayed
436,Delta,4313,78,33,Delayed
437,Lufthansa,501,31,95,Delayed
438,Delta,1398,124,140,OnTime
439,Emirates,950,174,166,OnTime
440,Emirates,4463,132,127,OnTime
441,Lufthansa,5081,76,157,OnTime
442,Indigo,11609,24,63,Delayed
443,Lufthansa,10434,119,59,OnTime
444,Indigo,2350,172,69,Delayed
445,Emirates,8737,96,26,Delayed
446,Emirates,718,93,98,OnTime
447,Emirates,7154,124,33,Delayed
448,Lufthansa,8610,1,177,OnTime
449,Indigo,5640,146,94,Delayed
450,Lufthansa,10819,23,67,OnTime
451,Lufthansa,9213,65,136,Delayed
452,Delta,3332,56,19,OnTime
453,Lufthansa,4011,73,124,OnTime
454,Emirates,5332,156,56,OnTime
455,Indigo,6460,150,90,OnTime
456,Delta,8662,85,196,Delayed
457,Emirates,10719,11,124,OnTime
458,Emirates,6771,125,5,Delayed
459,Emirates,1509,51,131,OnTime
460,Indigo,11580,146,103,Delayed
461,Lufthansa,11631,163,60,OnTime
462,Lufthansa,3126,20,76,Delayed
463,Emirates,4448,45,105,Delayed
464,Delta,508,49,140,Delayed
465,Delta,4885,153,63,Delayed
466,Lufthansa,898,157,183,OnTime
467,Indigo,1119,110,105,OnTime
468,Lufthansa,5349,101,180,OnTime
469,Delta,4000,144,181,OnTime
470,Emirates,8152,75,108,Delayed
471,Delta,6776,132,79,Delayed
472,Lufthansa,2287,61,165,Delayed
473,Lufthansa,11431,39,190,OnTime
474,Emirates,8504,32,115,OnTime
475,Lufthansa,3314,92,122,OnTime
476,Delta,9326,114,181,Delayed
477,Delta,1184,23,157,Delayed
478,Delta,10988,140,85,Delayed
479,Lufthansa,9472,173,93,OnTime
480,Indigo,1634,55,81,OnTime
481,Lufthansa,9110,57,21,Delayed
482,Lufthansa,9630,172,170,OnTime
483,Indigo,11091,82,138,Delayed
484,Indigo,5409,155,110,Delayed
485,Indigo,9428,53,71,OnTime
486,Indigo,6801,153,72,Delayed
487,Lufthansa,4974,39,118,Delayed
488,Lufthansa,8899,61,6,Delayed
489,Indigo,10273,109,128,OnTime
490,Emirates,11486,59,11,Delayed
491,Lufthansa,11375,17,172,OnTime
492,Lufthansa,10328,7,95,OnTime
493,Lufthansa,1791,71,17,Delayed
494,Emirates,2606,168,33,OnTime
495,Emirates,891,112,180,OnTime
496,Emirates,3951,44,40,OnTime
497,Emirates,2893,159,49,Delayed
498,Lufthansa,6054,65,103,OnTime
499,Emirates,7924,63,116,Delayed
500,Lufthansa,8682,42,189,OnTime
501,Emirates,6626,114,53,OnTime
502,Delta,4734,88,68,OnTime
503,Lufthansa,8360,149,70,OnTime
504,Emirates,3641,145,112,Delayed
505,Lufthansa,9190,2,61,Delayed
506,Indigo,4925,70,125,Delayed
507,Indigo,1226,19,9,Delayed
508,Emirates,10822,87,110,Delayed
509,Lufthansa,10236,30,18,Delayed
510,Delta,10701,70,141,OnTime
511,Emirates,2503,27,121,OnTime
512,Delta,10294,77,123,Delayed
513,Delta,11986,58,108,Delayed
514,Indigo,10823,147,76,OnTime
515,Indigo,5173,38,138,Delayed
516,Indigo,4275,176,69,OnTime
517,Delta,11403,73,71,Delayed
518,Emirates,7138,156,85,Delayed
519,Emirates,716,57,10,OnTime
520,Emirates,1444,71,10,OnTime
521,Indigo,7244,97,23,Delayed
522,Emirates,6935,113,7,Delayed
523,Emirates,8789,59,159,Delayed
524,Lufthansa,4407,112,25,Delayed
525,Indigo,8613,93,172,Delayed
526,Emirates,5760,50,43,OnTime
527,Delta,11115,70,83,Delayed
528,Lufthansa,7888,100,65,Delayed
529,Delta,2098,71,21,OnTime
530,Delta,542,92,96,Delayed
531,Indigo,9084,46,80,OnTime
532,Lufthansa,8161,69,199,OnTime
533,Delta,4297,49,52,Delayed
534,Emirates,6869,1,129,OnTime
535,Emirates,9671,71,10,Delayed
536,Emirates,1903,15,107,OnTime
537,Delta,1634,145,199,OnTime
538,Emirates,1328,57,178,Delayed
539,Lufthansa,1377,16,79,Delayed
540,Indigo,6999,114,113,OnTime
541,Indigo,10450,119,138,OnTime
542,Lufthansa,3643,87,52,OnTime
543,Delta,11100,35,180,Delayed
544,Delta,2989,17,63,OnTime
545,Lufthansa,6003,18,133,OnTime
546,Emirates,2751,6,9,Delayed
547,Indigo,2684,42,95,Delayed
548,Emirates,7768,71,52,Delayed
549,Lufthansa,8742,36,19,OnTime
550,Indigo,11314,26,122,OnTime
551,Indigo,7877,102,29,Delayed
552,Indigo,7494,85,181,OnTime
553,Emirates,4813,9,138,OnTime
554,Lufthansa,8152,147,7,OnTime
555,Delta,6680,62,0,OnTime
556,Emirates,11978,103,118,Delayed
557,Delta,11655,110,178,Delayed
558,Lufthansa,953,130,49,Delayed
559,Lufthansa,4957,138,101,Delayed
560,Lufthansa,6291,157,110,Delayed
561,Delta,10779,172,102,OnTime
562,Lufthansa,2887,146,94,Delayed
563,Lufthansa,2557,23,1,OnTime
564,Delta,10851,17,21,OnTime
565,Emirates,868,65,139,Delayed
566,Lufthansa,3547,81,57,Delayed
567,Emirates,7705,90,118,Delayed
568,Indigo,1828,122,152,OnTime
569,Lufthansa,1649,131,141,OnTime
570,Lufthansa,328,168,48,OnTime
571,Lufthansa,6499,28,3,OnTime
572,Lufthansa,11959,50,152,Delayed
573,Indigo,2434,59,90,Delayed
574,Delta,8716,130,87,OnTime
575,Indigo,4703,103,22,Delayed
576,Indigo,836,37,162,OnTime
577,Delta,6877,94,21,OnTime
578,Indigo,3117,21,198,Delayed
579,Delta,6333,16,78,Delayed
580,Indigo,4550,16,103,OnTime
581,Indigo,7574,125,76,Delayed
582,Lufthansa,1424,30,42,Delayed
583,Lufthansa,3159,127,75,Delayed
584,Indigo,8465,93,189,OnTime
585,Indigo,736,101,73,Delayed
586,Lufthansa,7342,8,70,OnTime
587,Lufthansa,8611,114,161,OnTime
588,Delta,10441,66,101,OnTime
589,Emirates,11174,52,38,Delayed
590,Lufthansa,6736,114,185,Delayed
591,Emirates,5435,63,39,OnTime
592,Emirates,8735,112,85,Delayed
593,Indigo,9220,164,38,Delayed
594,Lufthansa,1497,86,8,OnTime
595,Delta,9862,141,174,Delayed
596,Indigo,11513,7,44,Delayed
597,Emirates,4533,4,167,OnTime
598,Delta,5365,89,118,Delayed
599,Delta,3154,141,116,Delayed
600,Indigo,5984,55,133,Delayed
601,Lufthansa,311,155,121,OnTime
602,Lufthansa,5462,107,90,OnTime
603,Delta,5716,159,113,OnTime
604,Delta,2177,149,53,OnTime
605,Delta,5845,71,68,OnTime
606,Lufthansa,11186,4,96,OnTime
607,Emirates,6815,97,193,Delayed
608,Lufthansa,7910,134,170,Delayed
609,Delta,11587,48,77,Delayed
610,Indigo,2152,108,103,OnTime
611,Indigo,9465,17,156,Delayed
612,Indigo,10718,173,48,Delayed
613,Lufthansa,9194,6,109,Delayed
614,Indigo,10510,157,169,Delayed
615,Lufthansa,11471,168,3,OnTime
616,Lufthansa,5727,97,59,Delayed
617,Indigo,5369,88,31,Delayed
618,Lufthansa,1895,160,143,Delayed
619,Lufthansa,3670,148,119,OnTime
620,Lufthansa,2987,163,40,OnTime
621,Lufthansa,10590,135,34,Delayed
622,Delta,2542,89,40,OnTime
623,Emirates,1555,53,67,Delayed
624,Delta,9711,125,195,Delayed
625,Indigo,10383,173,148,Delayed
626,Indigo,401,92,47,OnTime
627,Indigo,4967,105,177,Delayed
628,Delta,5817,157,195,Delayed
629,Lufthansa,3462,15,4,Delayed
630,Emirates,6489,123,17,OnTime
631,Emirates,10203,173,71,Delayed
632,Indigo,8263,112,126,Delayed
633,Indigo,3229,5,180,OnTime
634,Lufthansa,10604,51,131,Delayed
635,Lufthansa,2887,18,83,Delayed
636,Lufthansa,11731,113,15,Delayed
637,Lufthansa,6231,88,31,OnTime
638,Lufthansa,5259,114,126,OnTime
639,Delta,6819,142,34,Delayed
640,Delta,8695,160,49,Delayed
641,Emirates,7326,17,90,OnTime
642,Indigo,5296,151,64,Delayed
643,Emirates,8169,80,112,OnTime
644,Delta,9478,86,176,OnTime
645,Lufthansa,2683,122,55,Delayed
646,Emirates,7215,110,179,Delayed
647,Lufthansa,3112,112,99,OnTime
648,Lufthansa,10241,59,45,Delayed
649,Emirates,7102,71,17,OnTime
650,Emirates,6408,26,124,OnTime
651,Emirates,9979,143,65,OnTime
652,Lufthansa,7777,127,129,Delayed
653,Lufthansa,9875,110,5,OnTime
654,Lufthansa,8874,161,95,Delayed
655,Delta,4053,170,108,OnTime
656,Delta,2297,66,70,Delayed
657,Emirates,3054,12,30,Delayed
658,Indigo,523,5,191,Delayed
659,Delta,9726,128,169,OnTime
660,Emirates,10358,162,90,Delayed
661,Emirates,6256,66,78,Delayed
662,Delta,2032,135,34,Delayed
663,Delta,4670,56,170,Delayed
664,Indigo,4426,165,112,OnTime
665,Lufthansa,8284,164,73,Delayed
666,Indigo,512,14,135,Delayed
667,Indigo,6148,133,93,Delayed
668,Delta,3108,72,14,Delayed
669,Lufthansa,5922,57,64,OnTime
670,Delta,3636,129,94,OnTime
671,Lufthansa,1758,0,126,Delayed
672,Delta,7913,67,20,OnTime
673,Indigo,9479,168,142,Delayed
674,Delta,5126,92,55,Delayed
675,Indigo,666,102,60,Delayed
676,Emirates,4069,48,124,Delayed
677,Indigo,6845,21,30,Delayed
678,Delta,6083,151,147,OnTime
679,Indigo,5626,50,57,Delayed
680,Emirates,8028,112,170,Delayed
681,Delta,4394,80,147,OnTime
682,Lufthansa,3775,57,119,OnTime
683,Indigo,2707,170,2,Delayed
684,Lufthansa,5714,119,73,Delayed
685,Emirates,1464,43,120,Delayed
686,Lufthansa,5149,161,46,Delayed
687,Lufthansa,9753,166,83,Delayed
688,Delta,11991,61,124,Delayed
689,Lufthansa,523,121,117,Delayed
690,Lufthansa,9944,17,19,OnTime
691,Lufthansa,9081,77,46,Delayed
692,Delta,6163,107,98,OnTime
693,Indigo,7252,132,179,Delayed
694,Emirates,9624,27,127,OnTime
695,Delta,11814,78,95,OnTime
696,Indigo,8409,102,13,OnTime
697,Lufthansa,812,56,17,Delayed
698,Lufthansa,5473,94,166,OnTime
699,Lufthansa,1862,170,74,OnTime
700,Delta,5415,48,196,OnTime
701,Indigo,6588,88,160,Delayed
702,Indigo,797,128,152,Delayed
703,Indigo,4816,135,108,Delayed
704,Emirates,1968,92,30,OnTime
705,Lufthansa,2327,163,139,Delayed
706,Delta,8015,123,15,Delayed
707,Delta,6039,50,156,Delayed
708,Delta,5579,141,129,Delayed
709,Lufthansa,5261,23,121,OnTime
710,Emirates,2611,32,113,Delayed
711,Delta,11567,90,1,Delayed
712,Delta,11705,27,92,OnTime
713,Lufthansa,1223,23,138,OnTime
714,Delta,11506,73,28,Delayed
715,Delta,359,149,43,Delayed
716,Indigo,9072,152,105,Delayed
717,Emirates,6509,83,45,Delayed
718,Delta,5425,77,92,Delayed
719,Lufthansa,2126,55,62,OnTime
720,Delta,9193,21,158,Delayed
721,Indigo,238,123,52,Delayed
722,Indigo,4348,120,84,OnTime
723,Emirates,9478,154,88,OnTime
